,date,User,Tweet
0,2021-07-31 23:56:44+00:00,DietmarHammer1,"In Graz schwere Unwetter. Wer jetzt noch immer nicht glaubt, dass sich das Klima ändert, dem kann man nicht mehr helfen."
1,2021-07-31 23:54:28+00:00,Lesend_im_Apfel,"Journalist: ""Wir müssen unsere Texte und Geschichten abwechslungsreich gestalten, damit uns die Leserschaft nicht ermüdet.""
Klimakrise: ""Das ändert an mir trotzdem nichts, auch wenn ihr nicht ständig über Hitze, Dürren und Hochwasser schreiben mögt.""
""..."""
2,2021-07-31 23:48:26+00:00,noisy_engineer,"@RubinNischara Gibts den mittlerweile neue brauchbare Techniken? Praktisch alle mir bekannten neueren Ansätze existieren erst auf dem Papier oder sind in der Entwicklungsphase, Marktreife in 20-30 Jahren, wirtschaftlich nicht rentabel, die selben alten Probleme, zu spät fürs Klima."
3,2021-07-31 23:46:59+00:00,PlzmaLp,"@JustinBergen14 Mit welcher wissenschaftlichen Grundlage haben die Überflutungen nichts mit dem Klimawandel zu tun ? 

In Brasilien schneit es aktuell übrigens, aber alles wie immer für euch 😂😂"
4,2021-07-31 23:45:26+00:00,Brennstoff,"#Klimawandel #Energiewende #EEG #Strompreis #Blackout #Merkel #CDU #CSU #SPD #AfD #Btw21 #Btw2021 

#Abkühlung

#Meereis #Antarktis wächst rasant:

15.07.21: 16,47 Mio km²
18.07.21: 16,84 Mio km²
30.07.21: 17,67 Mio km²

https://t.co/hlKKFRKzPW https://t.co/CKoDCeK76O"
5,2021-07-31 23:42:58+00:00,yonny_s,@vaillant_de Das #Klima freut sich garantiert nicht über Heizungen und schon gar nicht über #Pelletheizungen.
6,2021-07-31 23:36:54+00:00,das_Menschy,"@Naturschutz_MW Übrigens: die höhere Kriminalitätsrate in vielen Ländern mit heißerem Klima liegt an den dort höheren Temperaturen, NICHT an der Nationalität oder angeblichen ""Rassen"": https://t.co/SnYbyrYH5n"
7,2021-07-31 23:32:20+00:00,mematiye,@hdfdanke @sunsunnysuna Wie gesagt nicht alle 74 Gebiete können aus Klimawandel zu ähnlichen Zeiten brennen einige davon natürlich schon so wie in anderen Ländern auch das ist normal
8,2021-07-31 23:29:45+00:00,Lesend_im_Apfel,"Deckt man ein Meinungsspektrum ab, wenn man in jedem Artikel zur Klimakrise auch einen Wirtschafts-Lobbyisten zu Wort kommen lässt? Oder was steckt dahinter?"
9,2021-07-31 23:25:29+00:00,sixtus,"Industrien, die nur überleben können, solange wir weiterhin das Klima abfackeln und unseren öffentlichen Raum mit noch mehr Stahlgeräten vollstellen, zum Kern unserer gesellschaftlichen Existenz gemacht zu haben, ist dämlich. An diesem Fehler mutwillig festzuhalten, ist boshaft."
