Tweet,Rating
"@ReiSteurer Was soll das:
Ist es warm und trocken ist es der Klimawandel, 
Ist es normal warum und nass ist es der Klimawandel.
Jedes Unwetter ist der Klimawandel
Schnee ist der Klimawandel",1.0
"@Gert_Woellmann @ben_brechtken Wir könnten mal damit anfangen, dass solche Erleichterungen gegenfinanziert werden müssen. Und auch wenn es dir vermutlich nicht gefällt, viel Geld geht in soziale Bereiche. 

Zusätzlich haben wir die Last der Pandemie und durch die Klimakrise.",1.0
"@Marcus_MoD @Nationallibera3 @sebastiankurz @rendiwagner Ich bezweifle, dass Kinder elendig am Klimawandel ""verrecken"" werden.
Weiterhin behaupte ich, dass Sie effektiv nichts zur Abschwächung des Klimawandels beitragen.
Auch ist der wachsende Energiebedarf der Menschheit eine Gewissheit, für die ich nichts kann.",1.0
"@Philipp_Sgtz 😊glaube nicht nur du🥰,
Stattdessen wird der Kram aus dem Ausland gekauft 🙄 
Aber sich dann über den Klimawandel aufregen genau mein Humor!",1.0
"@stevenehring @welt Mit Co2 Einsparung kann Deutschland und der Rest der Welt den Klimawandel nicht aufhalten.
Hat sich das bei den Grünen noch nicht rumgesprochen.
Die Grünen schaden Deutschland",1.0
"@LasseHallstroem @holgerkopp keine menschengemachte! globale erderwärmung. der rest ist richtig, nur hätte ich mir noch gewünscht, dass er die 97% zerlegt. diese sind nämlich absoluter bullshit",1.0
"@die_sina2020 @Markus_G_Punkt So funktioniert das auch mit der täglichen Verbreitung von Klima-Weltuntergangszenarien.
Keiner bestreitet den Klimawandel, aber wie er medial verkauft wird, soll den Grünen zum Wahlsieg verhelfen.",1.0
"Wäre aber ein schönes Sci-Fi-Setting eigentlich: Eine Zivilisation von Spieltheorie-vernarrten Problem-Nerds fängt die Arecibo-Botschaft ab und schickt eine Flotte von Generationen-Schiffen, um Jahrhunderte später die deutlich vom Klimawandel gezeichnete Erde auszulöschen.",1.0
"@V1887Vd @EichholtzAlex Nicht nachhaltige Landwirtschaft, ausgetrocknete Böden durch Monokultur etc.
Aber tatsächlich vermute ich, dass es da auch eine Verbindung zum Klimawandel geben könnte. Hängt ja alles ziemlich komplex zusammen.",1.0
"@micha_bloss @georgloesel #Laschet:  #Greta und #FridaysForFuture verursachen das Interesse am Klimawandel?
Der ahnungslose Kanzlerkandidat der CDU/CSU https://t.co/SmIBejtjQW",1.0
"#KlimakriseISTjetzt, Klimakrise bekämpfen ist überfällig.
Beherzter #Klimaschutz muss her, sonst drohen weitere &amp; häufigere Infernos👇🏻 https://t.co/CUJDIl6VHT",1.0
@Kachelmann Es ist halt viel einfacher dem Klimawandel für alles die Schuld zu geben als die eigene Fehlplanung zu zugeben. Das ist bei den lokalpokitikern so wie bei den Grünen.,1.0
